variant,scenario,cell_type,r,bias,var_ratio,rmse
dwls_minor,titration,Myeloid,0.9183075731908856,-0.023056662472677937,0.2804311809609993,0.04564065961003517
dwls_minor,titration,Normal_Epithelial,0.2749943376998101,0.07439676368951462,1.023022841149173,0.11831732485243147
dwls_minor,titration,PVL,0.9586248146774331,0.015049806153658305,1.1647599019996775,0.025816017347690214
dwls_minor,titration,Plasma,0.9427881300869138,0.15581537783251498,5.4997036590990955,0.20111185997721398
dwls_minor,titration,T_cells,0.8869857098464586,0.0006669137178431949,0.9014839148061756,0.04571676246517347
dwls_minor,uniform,B cell,0.7991474372753589,-0.017578520328298687,1.2313085116455116,0.06648226758472577
dwls_minor,uniform,CAF,0.9718675472071234,-0.028262394872803385,0.7569232211142146,0.04034986465708869
dwls_minor,uniform,Endothelial,0.9731409947761728,-0.027825636150623733,0.726197760406466,0.03831377918160927
dwls_minor,uniform,Malignant,0.9404902744413934,-0.04704083263290323,0.29403476060287237,0.07139599825859132
dwls_minor,uniform,Myeloid,0.9493020168244759,-0.04325734613932604,0.3219786407662874,0.0685294621052064
dwls_minor,uniform,Normal_Epithelial,0.9193362575066979,-0.014640482939644919,0.6576057886170964,0.043936645799091734
dwls_minor,uniform,PVL,0.9528311716762405,0.010054376583659186,1.0485213919161935,0.0288169836635182
dwls_minor,uniform,Plasma,0.9541433327465454,0.1807254363839033,5.011912410354609,0.22428046316221376
dwls_minor,uniform,T_cells,0.9022494415953956,-0.012174599903962328,1.0902797017363672,0.04638379885957043
dwls_minor,sparse,B cell,0.9033900335050511,-0.0060667874660366,0.8687901530555995,0.0678722016106156
dwls_minor,sparse,CAF,0.9818266308584878,-0.022130148892202616,0.6917156410185127,0.04234900351006802
dwls_minor,sparse,Endothelial,0.9803720594639755,-0.022758979215527272,0.8161600964305726,0.041393559631494874
dwls_minor,sparse,Malignant,0.9753508224572921,-0.04560700621433443,0.34099371749005863,0.09182444297208144
dwls_minor,sparse,Myeloid,0.9617034123291583,-0.04246807451666939,0.43190683938623015,0.0859588148346133
dwls_minor,sparse,Normal_Epithelial,0.9086706227312437,-0.007170592165987167,0.6691979695124635,0.06698810394632876
dwls_minor,sparse,PVL,0.9721291633799428,0.009012205795970486,1.0386462275665607,0.03804200852697001
dwls_minor,sparse,Plasma,0.9381117318241909,0.1359017013390046,2.9649484622800406,0.19811504761944768
dwls_minor,sparse,T_cells,0.9410097013336497,0.0012876813357824972,1.0234255634870997,0.056041096554507695
