                    p.Moran_I  p.Moran_Z  p.Moran_P  p.Moran_Padj
MMP7_ERBB4           0.025256   5.364022   0.000999      0.004740
IL15_IL15RA          0.025191   5.265929   0.000999      0.004740
EBI3_IL27RA          0.025039   5.522916   0.000999      0.004740
GNAI2_UNC5B          0.024982   5.364279   0.000999      0.004740
SLIT1_SDC1           0.024878   5.187520   0.000999      0.004740
SEMA3F_PLXNA1        0.024858   5.466829   0.000999      0.004740
PDGFA_PDGFRB         0.024845   5.350234   0.000999      0.004740
FN1_ITGA3            0.024766   5.392967   0.000999      0.004740
SLIT1_GPC1           0.024712   5.214452   0.000999      0.004740
COL4A5_ITGB1         0.024711   5.256473   0.000999      0.004740
PROS1_AXL            0.024648   5.614856   0.000999      0.004740
SEMA3G_NRP2          0.024594   5.191253   0.000999      0.004740
VCAN_EGFR            0.024564   5.213400   0.000999      0.004740
FST_BMPR2            0.024518   5.044894   0.000999      0.004740
COL18A1_KDR          0.024486   5.158359   0.000999      0.004740
CALCA_RAMP1          0.024339   4.919100   0.000999      0.004740
PDGFC_PDGFRA         0.024241   5.226996   0.000999      0.004740
TNFSF4_TNFRSF4       0.023988   5.073785   0.000999      0.004740
ICAM2_ITGAM          0.023893   4.908750   0.000999      0.004740
ICAM5_ITGB2          0.023731   4.981957   0.000999      0.004740
PLAU_ITGA5           0.023703   4.990185   0.000999      0.004740
EFNA4_EPHA1          0.023454   4.903102   0.000999      0.004740
CCL13_CXCR3          0.023387   5.120892   0.000999      0.004740
B2M_HFE              0.023375   4.953996   0.000999      0.004740
RTN4_LINGO1          0.023330   5.155373   0.000999      0.004740
LAMA4_ITGB1          0.023290   4.813680   0.000999      0.004740
WNT5A_ROR2           0.023285   4.890122   0.000999      0.004740
BGN_TLR1             0.023261   4.919075   0.000999      0.004740
NID1_ITGB1           0.023254   4.930540   0.000999      0.004740
CALM3_ABCA1          0.023208   4.885695   0.000999      0.004740
FN1_ITGB7            0.023191   5.219231   0.000999      0.004740
CD40LG_CD40          0.023101   4.992102   0.000999      0.004740
F13A1_ITGA4          0.022947   4.721718   0.000999      0.004740
DLL4_NOTCH1          0.022895   4.780592   0.000999      0.004740
CCL4_CCR5            0.022695   4.782320   0.000999      0.004740
ADAM9_ITGA3          0.022673   4.921027   0.000999      0.004740
JAG1_NOTCH4          0.022657   4.696235   0.000999      0.004740
CCL23_CCR1           0.022622   5.069123   0.000999      0.004740
APP_TNFRSF21         0.022622   4.711570   0.000999      0.004740
IL16_KCNA3           0.022563   4.890353   0.000999      0.004740
COL4A1_ITGA2         0.022414   4.709911   0.000999      0.004740
IL7_IL2RG            0.022290   4.740749   0.000999      0.004740
WNT5A_RYK            0.022279   4.601968   0.000999      0.004740
PTDSS1_JMJD6         0.022139   4.478132   0.000999      0.004740
THBS2_NOTCH4         0.022042   4.689099   0.000999      0.004740
GNAI2_C5AR1          0.021961   4.726573   0.000999      0.004740
FGF8_FGFR2           0.021927   4.984831   0.000999      0.004740
THBS1_LRP5           0.021621   4.401818   0.000999      0.004740
AGRN_LRP4            0.021512   4.514801   0.000999      0.004740
CD70_CD27            0.021439   4.587794   0.000999      0.004740
CD14_ITGA4           0.021319   4.670651   0.000999      0.004740
LAMC2_ITGA2          0.021243   4.634850   0.000999      0.004740
CALM1_KCNQ5          0.021217   4.400551   0.000999      0.004740
COL1A1_CD36          0.021146   4.599655   0.000999      0.004740
GAS6_MERTK           0.021110   4.511287   0.000999      0.004740
INHA_ACVR1B          0.021066   4.491915   0.000999      0.004740
WNT3A_FZD6           0.021006   4.486970   0.000999      0.004740
VEGFA_GPC1           0.021005   4.577838   0.000999      0.004740
HP_ITGB2             0.020992   4.517815   0.000999      0.004740
ADAM28_ITGA4         0.020942   4.309859   0.000999      0.004740
PGF_FLT1             0.020936   4.529508   0.000999      0.004740
TGM2_ITGA9           0.020790   4.322886   0.000999      0.004740
SAA1_FPR1            0.020784   4.222113   0.000999      0.004740
NID1_COL13A1         0.020712   4.621638   0.000999      0.004740
COL3A1_ITGA2         0.020692   4.343739   0.000999      0.004740
TIMP3_KDR            0.020678   4.432924   0.000999      0.004740
CGN_TGFBR1           0.020639   4.309449   0.000999      0.004740
CD40LG_ITGB2         0.020636   4.486516   0.000999      0.004740
CALR_ITGAV           0.020631   4.278565   0.000999      0.004740
COL2A1_TNFRSF10A     0.020487   4.564881   0.000999      0.004740
VEGFA_TYRO3          0.020466   4.645520   0.000999      0.004740
ANGPT2_TIE1          0.020438   4.124513   0.000999      0.004740
MFNG_NOTCH1          0.020382   4.301906   0.000999      0.004740
UBA52_TGFBR1         0.020274   4.392594   0.000999      0.004740
TGFB3_ENG            0.020255   4.282902   0.000999      0.004740
RARRES2_GPR1         0.020234   4.364578   0.000999      0.004740
TIMP1_CD63           0.020207   4.265459   0.000999      0.004740
CCL2_CCR2            0.020189   4.187057   0.000999      0.004740
CXCL10_CXCR3         0.020177   4.263835   0.000999      0.004740
UBA52_NOTCH1         0.020173   4.397384   0.000999      0.004740
RARRES2_CCRL2        0.020168   4.134852   0.000999      0.004740
PLTP_ABCA1           0.020134   4.269832   0.000999      0.004740
MFNG_NOTCH2          0.020016   4.086742   0.000999      0.004740
VEGFC_FLT1           0.019990   4.238202   0.000999      0.004740
DLL1_NOTCH3          0.019980   4.344355   0.000999      0.004740
HLA-E_KLRC1          0.019918   4.222219   0.000999      0.004740
NUCB2_ERAP1          0.019860   4.160203   0.000999      0.004740
