trial,method,scenario,scenario_desc,r,rho,rmse
90,music,uniform,Uniform (alpha=1.0),0.8252658249068247,0.7614947022571611,0.058985882690156845
90,music,sparse,Sparse (alpha=0.3),0.905317251849004,0.7998128093325431,0.07089262066559124
90,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.8367779810803891,0.7001708504978796,0.14619947039432205
90,dwls_minor,titration,Titration (0-90%),0.7214437814590808,0.7506556448236954,0.1090398165681768
90,dwls_minor,uniform,Uniform (alpha=1.0),0.7713296660580983,0.8247188282562615,0.07186002994174931
90,dwls_minor,sparse,Sparse (alpha=0.3),0.8897120485962946,0.8838174405085188,0.07696905832062695
91,spacet_v0_none,tumor_purity,Tumor Purity (60-90%),0.3130956778999015,0.4131434158220493,0.2309111912874519
91,spacet_v0_none,titration,Titration (0-90%),0.3600100191576344,0.5514155879258297,0.1603747827835334
91,spacet_v0_none,uniform,Uniform (alpha=1.0),0.5993090250180384,0.6656372627586585,0.09545403158832533
91,spacet_v0_none,sparse,Sparse (alpha=0.3),0.7542690682395207,0.7230204337560813,0.11373435076102573
91,spacet_v1_ratio,tumor_purity,Tumor Purity (60-90%),0.3446153659872982,0.4124360343835637,0.22545663089354942
91,spacet_v1_ratio,titration,Titration (0-90%),0.37967493540562575,0.55436943377822,0.15768083382488404
91,spacet_v1_ratio,uniform,Uniform (alpha=1.0),0.5933660375973218,0.6684851168475178,0.09657410670823277
91,spacet_v1_ratio,sparse,Sparse (alpha=0.3),0.7500639941556894,0.725743020256454,0.11486194634316912
91,spacet_v3_irwls,tumor_purity,Tumor Purity (60-90%),0.9424445672597794,0.5971762210353795,0.09462669819889591
91,spacet_v3_irwls,titration,Titration (0-90%),0.89963404684752,0.7369335001366617,0.06898172928799323
91,spacet_v3_irwls,uniform,Uniform (alpha=1.0),0.7780920936896081,0.7553449270826998,0.0696549921874245
91,spacet_v3_irwls,sparse,Sparse (alpha=0.3),0.880387606879569,0.8016222057852368,0.07996710839177835
91,music,tumor_purity,Tumor Purity (60-90%),0.9500132108698023,0.5472204027338443,0.10153468358149535
91,music,titration,Titration (0-90%),0.9038744425575994,0.69474880667163,0.07423574924613775
91,music,uniform,Uniform (alpha=1.0),0.8269356645074685,0.8020780203492122,0.05765428745187186
91,music,sparse,Sparse (alpha=0.3),0.8984443663205158,0.7685552728697361,0.07390202046273156
91,dwls_minor,tumor_purity,Tumor Purity (60-90%),0.9556608752777432,0.6159121687882135,0.07805593414403507
