                     p.Moran_I   p.Moran_Z  p.Moran_P  p.Moran_Padj
COPS9             2.786069e-01   40.961247   0.000999      0.004052
AFP               2.786042e-01   40.335849   0.000999      0.004052
NDUFB9            2.783585e-01   42.723626   0.000999      0.004052
MGST3             2.772247e-01   43.333471   0.000999      0.004052
LAPTM4B           2.765248e-01   41.165621   0.000999      0.004052
RPS29             2.760451e-01   42.548890   0.000999      0.004052
IFT122            2.756443e-01   40.933360   0.000999      0.004052
RPL37             2.753986e-01   40.064481   0.000999      0.004052
MPC2              2.752635e-01   40.476477   0.000999      0.004052
ST8SIA6-AS1       2.752159e-01   42.771708   0.000999      0.004052
SLC30A8           2.751254e-01   42.028394   0.000999      0.004052
AMFR              2.749001e-01   41.039857   0.000999      0.004052
POLR2K            2.746020e-01   41.810180   0.000999      0.004052
RPL7              2.740871e-01   41.574743   0.000999      0.004052
ADAR              2.734345e-01   41.815713   0.000999      0.004052
SPARC             2.730830e-01   42.050356   0.000999      0.004052
DBI               2.726129e-01   41.402335   0.000999      0.004052
SERPINA5          2.724231e-01   39.121948   0.000999      0.004052
TMBIM6            2.723612e-01   42.966777   0.000999      0.004052
ILF2              2.723229e-01   41.456751   0.000999      0.004052
GRINA             2.712277e-01   40.665912   0.000999      0.004052
RPL34             2.711853e-01   41.289224   0.000999      0.004052
ERP27             2.710640e-01   42.002501   0.000999      0.004052
TPD52             2.706679e-01   40.642749   0.000999      0.004052
LGALS3BP          2.700876e-01   41.499514   0.000999      0.004052
Z82246.1          2.695953e-01   41.083323   0.000999      0.004052
CKS1B             2.693895e-01   41.054673   0.000999      0.004052
COX7A2            2.693781e-01   41.570069   0.000999      0.004052
C1QC              2.693614e-01   40.523527   0.000999      0.004052
SH3BGRL           2.693552e-01   41.468712   0.000999      0.004052
LY6E              2.688511e-01   40.945449   0.000999      0.004052
SDC1              2.685718e-01   38.549415   0.000999      0.004052
CLDN3             2.681452e-01   39.183966   0.000999      0.004052
PSMB4             2.675709e-01   42.169421   0.000999      0.004052
LAPTM5            2.665745e-01   40.889887   0.000999      0.004052
CAVIN1            2.658250e-01   39.657655   0.000999      0.004052
TAP1              2.657320e-01   39.030161   0.000999      0.004052
PARD6B            2.655523e-01   40.467560   0.000999      0.004052
PPDPF             2.653393e-01   40.372621   0.000999      0.004052
RPS23             2.652828e-01   39.403716   0.000999      0.004052
COL6A1            2.648442e-01   37.943901   0.000999      0.004052
MGST1             2.648061e-01   39.439683   0.000999      0.004052
RPL37A            2.646711e-01   39.902743   0.000999      0.004052
IGHA2             2.642509e-01   39.614151   0.000999      0.004052
COL2A1            2.641781e-01   38.744674   0.000999      0.004052
