"","Hepatocyte","Cholangiocyte"
"STX12",1.17974500659267,3.06053680169077
"PPP1R8",0.842893744990366,1.27922961231423
"THEMIS2",0.255331132604036,0.367139835026007
"RPA2",1.82511103306915,2.53866261195875
"SMPDL3B",0.0700227388344751,0.375705827270027
"XKR8",0.470282070128331,0.224072398195783
"EYA3",0.34776092015677,1.2443176746386
"PTAFR",0.0613654147783719,0.500643405727187
"DNAJC8",6.14907785328231,8.71125651108935
"SESN2",0.481704334640624,1.50702747956709
"MED18",0.120698417627712,0.831003605926504
"PHACTR4",1.61665965146085,5.26912655192119
"RCC1",0.223533755632406,0.667896450444594
"TRNAU1AP",1.08385872822024,2.43735769231271
"SNHG12",1.22437598439309,5.06706786367183
"TAF12",2.20444812985465,2.9291892720841
"RAB42",0.00366944354552824,0.0607154219600397
"GMEB1",0.220320603656691,0.699455014623854
"YTHDF2",2.97384381346545,6.31197269641671
"EPB41",1.47066185678462,1.43171454608495
"TMEM200B",0.065025762164664,0.57026773084908
"SRSF4",3.39289670034289,7.24282859096926
"MECR",0.540916073406523,1.24469093359128
"PTPRU",0.104936939154806,1.55352672406019
"MATN1-AS1",0.0929472485223658,0.504150327598437
"LAPTM5",5.63206330385226,2.82715969329651
"SDC3",0.0623510420229278,2.12112061947291
"PUM1",1.65935379669883,7.53302610747598
"SNRNP40",1.50008848803606,3.64046523109926
"ZCCHC17",1.50185321350907,3.53432826670585
"FABP3",0.0356931364204812,0.251612974111566
"SERINC2",4.37316537835268,14.9938674092486
"LINC01226",0.00223656486539101,0
"TINAGL1",0.13686612952467,7.65209682476319
"PEF1",1.91195333905865,2.7949526891541
"COL16A1",0.0129039122309452,1.06065083358213
"ADGRB2",0,0
"SPOCD1",0.0522547652002589,0
"PTP4A2",6.69071723639525,11.1698861862097
"KHDRBS1",4.78430921643432,10.6950293206262
"TMEM39B",0.344668555077439,0.767860509402382
"KPNA6",1.46114168925426,2.95683372752795
"TXLNA",0.953590186913624,1.85827880134281
"CCDC28B",0.398237555085403,2.09543046698552
"IQCC",0.0627549480120751,0.0877112744460814
"TMEM234",0.224052698831336,0.91895974099551
"EIF3I",6.46949734090199,10.7772703231916
"FAM167B",0.174892102747016,0.415310071713822
"LCK",3.96298425092726,0.856776297258718
"HDAC1",2.31938626067712,5.66094782924514
"MARCKSL1",2.22703013870684,21.5782692097282
"FAM229A",0.148541541349879,0.871746488777463
"BSDC1",1.37202183904549,2.6347547164205
"ZBTB8B",0.0122110081750257,0.102347231405043
"ZBTB8A",0.144363135959767,1.46486043429335
"ZBTB8OS",4.45257222876406,5.5164790627159
"RBBP4",3.73760673974158,7.02725680675331
"SYNC",0.853757559197981,3.2174684184608
"KIAA1522",0.437226315663093,6.32193126016577
"YARS",0.89004836749405,3.07473157172643
"S100PBP",0.55149212286103,2.02076155516008
"FNDC5",0.959727840834123,0.136388021554348
"TMEM54",0.842824259464202,7.13481154751239
"RNF19B",0.298492226559427,1.5408465089843
"AK2",5.00541391732041,8.40977937394029
"AZIN2",0.152086160037639,0.150899476769795
"TRIM62",0.0157842689487132,0.0609881255231913
"ZNF362",0.140125873331636,0.65153250081574
"PHC2",1.03825057059873,3.55985924907104
"ZSCAN20",0.0297508314995922,0.152081603972706
"CSMD2",0.00431811669313096,0
"SMIM12",2.52163452119101,3.52376101452259
"GJB3",0.0180774858033491,0.262719342274788
"GJA4",0.0362702371150987,0.104052833379979
"DLGAP3",0.0207542095409943,0.0077518202049023
"ZMYM6",0.271391420173611,1.62486713238926
"ZMYM1",0.464936800359849,0.99636910039663
"SFPQ",5.44011505612637,17.2348448129887
"ZMYM4",0.477817982048885,2.4820394569717
"KIAA0319L",1.41592056605444,3.58948184011406
"NCDN",0.225645846170474,0.479443361329218
"TFAP2E",0,0
"PSMB2",9.15200545644783,16.958915874443
"C1orf216",0.2912438694168,0.321435124476481
"CLSPN",0.150707875669622,0.208156202478012
"AGO4",0.443210848472591,1.65473994757649
"AGO1",0.260079561022165,1.58554653075437
"AGO3",0.940006977892968,2.83313843384104
"TEKT2",0.00891629878017901,0.171889670650055
"ADPRHL2",0.795571777951624,3.07387694447157
"COL8A2",0.00443663152957472,0
"TRAPPC3",2.70986220918603,5.07859338017821
"MAP7D1",0.989230850584722,2.63419538119546
"THRAP3",3.42079944283147,9.44738067768592
"SH3D21",0.00157887650179575,0.200272915243857
"EVA1B",0.329586471133826,1.49414899106543
"STK40",0.614507254159881,1.20875019146854
"LSM10",3.86359575283799,4.18404292830742
"OSCP1",0.082341187817305,0.761821018692858
"MRPS15",8.92712911828832,8.7977285006438
"CSF3R",0.156594292019874,0.36289022677111
"LINC01137",0.314673943713833,1.51248766172942
"ZC3H12A",1.62943904238625,5.69001401028715
"MEAF6",4.9185130087887,11.0910997181506
"SNIP1",0.821948779329516,1.86438302267779
